Time,Time from zero,Wear(vol)
1345.400064,23.40000111,0.076532915
1345.500064,23.50000112,0.076733693
1345.600064,23.60000112,0.07653594
1345.700064,23.70000113,0.07622309
1345.800064,23.80000113,0.076394059
1345.900064,23.90000114,0.076831542
1346.000064,24.00000114,0.075980224
1346.100064,24.10000114,0.074044116
1346.200064,24.20000115,0.074933417
1346.300064,24.30000115,0.077334367
1346.400064,24.40000116,0.079557411
1346.500064,24.50000116,0.099167429
1346.600064,24.60000117,0.095113561
1346.700064,24.70000117,0.082158163
1346.800064,24.80000118,0.081575647
1346.900064,24.90000118,0.088351555
1347.000064,25.00000119,0.094202608
1347.100064,25.10000119,0.092033282
1347.200064,25.2000012,0.088072166
1347.300064,25.3000012,0.093050867
1347.400064,25.40000121,0.093247324
1347.500064,25.50000121,0.089109682
1347.600064,25.60000122,0.084970959
1347.700064,25.70000122,0.08190462
1347.800064,25.80000123,0.07971096
1347.900064,25.90000123,0.078589849
1348.000064,26.00000123,0.078684263
1348.100064,26.10000124,0.079372026
1348.200064,26.20000124,0.080365263
1348.300064,26.30000125,0.081364743
1348.400064,26.40000125,0.081958458
1348.500064,26.50000126,0.082099572
1348.600064,26.60000126,0.082111947
1348.700064,26.70000127,0.08198037
1348.800064,26.80000127,0.081485949
1348.900064,26.90000128,0.08075878
1349.000064,27.00000128,0.079974011
1349.100064,27.10000129,0.079197392
1349.200064,27.20000129,0.078303561
1349.300064,27.3000013,0.077423222
1349.400064,27.4000013,0.076707318
1349.500064,27.50000131,0.078176461
1349.600064,27.60000131,0.082333133
1349.700064,27.70000132,0.085676238
1349.800064,27.80000132,0.089722797
1349.900064,27.90000133,0.096768975
1350.000064,28.00000133,0.099699758
1350.100064,28.10000133,0.089234851
1350.200064,28.20000134,0.077458538
1350.300064,28.30000134,0.072738104
1350.400064,28.40000135,0.068527281
1350.500064,28.50000135,0.068864003
1350.600064,28.60000136,0.071784422
1350.700064,28.70000136,0.067159958
1350.800064,28.80000137,0.054181274
1350.900064,28.90000137,0.046058144
1351.000064,29.00000138,0.044700149
1351.100064,29.10000138,0.044902705
1351.200064,29.20000139,0.044886496
1351.300064,29.30000139,0.044866007
1351.400064,29.4000014,0.045153055
